student_id,student_name,email,program,year_of_study,enrollment_date,attendance_rate,vle_logins_last_week,vle_time_hours_last_week,assignments_submitted_on_time,assignments_submitted_late,last_assessment_grade,previous_semester_gpa,is_commuter,works_part_time,has_declared_disability,is_international,financial_support,engagement_trend,accessed_upcoming_assessment_brief,days_to_nearest_assessment,last_alert_date,alert_response_status,risk_score_pre_intervention,prior_intervention_count,prior_interventions_improved,risk_score,risk_level,intervention_history_stress
STU0001,Ruth Griffiths,ruth.griffiths@student.chester.ac.uk,Business Analytics,1,2024-10-27,68.98,2,0.65,5,0,37,1.87,True,True,False,False,Full,Stable,False,9,,,56,1,0,54,Medium,49.0
STU0002,Henry Smith,henry.smith@student.chester.ac.uk,Engineering,2,2024-09-05,99.8,12,6.52,7,0,85,2.73,False,False,False,True,Partial,Stable,True,17,,,8,0,0,6,Low,0.0
STU0003,Bradley Newman,bradley.newman@student.chester.ac.uk,Engineering,2,2024-09-12,77.72,1,0.82,6,0,60,2.37,False,True,False,True,None,Declining,False,21,,,48,0,0,37,Medium,0.0
STU0004,Sian Cox,sian.cox@student.chester.ac.uk,Psychology,3,2024-09-09,84.25,6,6.43,6,1,64,2.42,True,False,False,False,None,Improving,False,17,,,12,0,0,9,Low,0.0
STU0005,Janice Hopkins,janice.hopkins@student.chester.ac.uk,Engineering,2,2024-09-03,64.2,3,2.87,4,0,67,2.51,True,False,False,True,Partial,Improving,False,16,,,30,0,0,23,Low,0.0
STU0006,Mary Higgins,mary.higgins@student.chester.ac.uk,Business Analytics,3,2024-09-04,81.84,5,5.52,5,0,67,2.78,True,True,False,False,Full,Improving,False,9,,,13,0,0,10,Low,0.0
STU0007,Colin Lloyd,colin.lloyd@student.chester.ac.uk,Business Analytics,1,2024-09-16,84.7,8,4.39,6,0,57,2.41,False,False,False,False,Partial,Declining,True,16,,,21,0,0,16,Low,0.0
STU0008,Leanne Foster,leanne.foster@student.chester.ac.uk,Computer Science,1,2024-10-21,77.82,3,3.44,6,0,68,3.22,False,False,False,False,Full,Declining,False,15,,,41,0,0,32,Low,0.0
STU0009,Chelsea Ryan,chelsea.ryan@student.chester.ac.uk,Computer Science,2,2024-09-26,71.36,1,1.89,4,0,51,1.72,True,False,False,False,Partial,Declining,False,10,,,56,1,1,46,Medium,11.0
STU0010,Francesca Harrison,francesca.harrison@student.chester.ac.uk,Engineering,3,2024-10-20,86.95,12,9.24,4,0,84,3.16,False,False,False,False,Full,Declining,True,6,,,17,0,0,13,Low,0.0
STU0011,Samantha Quinn,samantha.quinn@student.chester.ac.uk,Engineering,2,2024-10-23,49.37,2,5.23,2,1,52,1.71,False,False,False,False,None,Declining,False,15,,,54,1,1,45,Medium,11.0
STU0012,Joan White,joan.white@student.chester.ac.uk,Data Science,1,2024-09-09,66.94,1,0.84,4,1,49,1.55,False,False,False,False,Full,Stable,False,17,2025-03-22,Meeting Scheduled,57,3,1,57,Medium,58.33
STU0013,Thomas Reed,thomas.reed@student.chester.ac.uk,Engineering,2,2024-10-01,90.05,15,8.23,7,0,66,3.37,False,False,True,True,None,Improving,True,11,,,4,1,0,14,Low,49.0
STU0014,Sam Harrison,sam.harrison@student.chester.ac.uk,Data Science,1,2024-09-17,81.32,10,2.59,5,0,90,3.12,True,True,False,False,None,Stable,True,21,2025-02-06,Responded,18,0,0,14,Low,0.0
STU0015,Maurice White,maurice.white@student.chester.ac.uk,Data Science,2,2024-10-12,88.89,8,6.63,6,1,82,3.21,False,False,False,False,Full,Improving,True,21,,,7,0,0,5,Low,0.0
STU0016,Robin Andrews,robin.andrews@student.chester.ac.uk,Psychology,2,2024-10-08,90.36,22,13.15,7,1,88,2.46,False,False,False,False,None,Stable,True,18,,,11,0,0,9,Low,0.0
STU0017,Tom Warner,tom.warner@student.chester.ac.uk,Data Science,1,2024-09-26,83.34,2,1.21,6,0,77,2.83,False,True,False,True,Full,Declining,True,14,,,38,0,0,30,Low,0.0
STU0018,Jessica Glover,jessica.glover@student.chester.ac.uk,Data Science,3,2024-09-26,65.97,0,0.0,2,0,58,1.82,True,True,False,True,None,Declining,False,7,,,62,2,1,57,Medium,41.0
STU0019,Leigh Butler,leigh.butler@student.chester.ac.uk,Business Analytics,3,2024-10-16,71.56,3,4.13,5,0,59,2.87,False,False,False,False,Full,Declining,False,19,2025-02-06,Responded,40,0,0,31,Low,0.0
STU0020,Samuel Elliott,samuel.elliott@student.chester.ac.uk,Computer Science,3,2024-09-12,98.19,8,2.77,4,0,84,3.15,True,False,False,False,Full,Improving,True,13,2025-02-27,Responded,16,1,0,23,Low,49.0
STU0021,Paula Harvey,paula.harvey@student.chester.ac.uk,Psychology,1,2024-10-13,78.58,1,1.15,4,0,48,2.37,False,True,True,False,Partial,Declining,False,8,2025-02-09,No Response,55,2,1,52,Medium,41.0
STU0022,Gemma Ferguson,gemma.ferguson@student.chester.ac.uk,Engineering,3,2024-10-05,70.68,3,1.08,2,1,47,1.48,False,True,False,False,Partial,Declining,False,10,,,54,1,0,53,Medium,49.0
STU0023,Billy Norton,billy.norton@student.chester.ac.uk,Business Analytics,1,2024-10-21,66.51,0,2.85,1,1,72,2.73,False,False,True,False,None,Stable,False,14,,,47,0,0,37,Medium,0.0
